length,radius,theta,height,surface,spin,result
12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,0
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,0,1
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,1
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,1
12.0,1,0.86,140.0,0.1,1,1
12.0,1,0.86,140.0,0.1,1,1
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,1
12.0,1,0.86,140.0,0.1,1,0
12.0,1,0.86,140.0,0.1,1,1
